Group.1	1-Abd	1-FH	1-UB	1-AC	2-AC	2-FH	2-PC	2-UB	3-AC	3-Abd	3-FH	3-PC	3-UB	4-AC	4-FA	4-FH	4-PC	4-UB	5-AC	5-FA	5-FH	5-PC	5-UB	6-AC	6-FH	6-PC	6-UB	7-FA	7-FH	7-PC	7-UB	8-AC	8-Abd	8-FA	8-FH	8-PC	8-UB	9-AC	9-FH	9-PC	10-Abd	10-FA	10-FH	10-UB	11-AC	11-FA	11-FH	11-PC	11-UB
Corynebacterium afermentans	75	75.5	51	192	1506	32	137	111	1398	24772	123	104176	240	4541	4694	593	2301	188	2621	6559	29	7344	40	2988	192	3284	17	3749	91	16666	93	434	615	1199	120	2384	1045	39210	1589	38825	11721	1904	157	344	0	53	0	163	10
Brevundimonas diminuta	8	6	2	58	3739	13	2018	117	655	404	4	1078	0	2236	1459	26	338	59	253	503	0	358	2	276	21	140	3	384	57	229	19	197	308	438	69	476	511	447	7440	3012	2712	690	27	104	7	235	9	484	34
Paracoccus yeei	7	13.5	5.5	25	585	4	307	112	700	9587	13	6578	113	1762	1817	35	582	23	5171	5334	12	5698	67	1638	133	1588	8	544	10	443	25	408	530	680	134	826	1418	455	1859	347	12144	2879	1037	2868	19	885	32	459	73
Moraxella osloensis	7.5	19	5.5	27	317	8	128	99	269	36255	44	34581	1454	954	750	10	138	10	1738	2316	11	5020	60	224	41	806	0	228	12	106	3	126	219	409	67	348	516	86	1440	333	2357	702	222	352	32	636	8	365	82
Corynebacterium simulans	25	36	22.5	114	383	25	455	78	703	6496	95	21758	92	1595	2346	100	1450	104	232	561	121	1134	8	955	90	2133	2	888	33	4279	16	275	425	1090	87	1452	680	58584	486	84456	15669	898	875	564	2	104	8	128	14
Pseudomonas stutzeri	7.5	5.5	6.5	12	31088	31	1846	660	543	5609	23	3883	26	1000	1020	12	201	13	1335	2102	8	6088	41	1907	78	14583	10	12853	281	10065	122	241	1369	782	175	428	852	95	3587	239	920	1223	11	25	0	92	6	151	20
Mycobacterium iranicum	27	10.5	15.5	12	3961	8	89	136	444	224	4	288	3	1124	1404	17	158	8	4055	2553	13	2052	108	529	16	357	2	16562	79	24306	541	140	172	247	24	159	430	142	2043	1538	809	210	60	238	244	5507	13	877	322
Brachybacterium muris	7.5	20	28	28	335	31	42	75	260	50	7	250	3	1308	651	26	137	31	8840	12179	309	20732	173	2936	253	1827	17	126	3	133	14	128	186	325	45	174	301	607	759	1383	14344	6827	1372	1909	231	5504	87	2088	369
Lactobacillus crispatus	64.5	49	25	63	2662	158	5817	419	836	43	1	54	2	3209	7593	163	2301	85	865	2170	12	11595	34	314	24	104	1	4498	86	21241	73	3239	14426	15843	2884	206584	10378	33	769	164	1507	174	4	17	1	21	2	328	0
Acinetobacter ursingii	11	29.5	4.5	37	974	5	42	60	415	9372	29	49181	133	1388	1527	54	171	14	47	58	0	122	1	1569	72	781	20	1225	78	1185	67	730	1087	2119	697	1787	1521	20	1167	28	1262	280	205	444	8	41	4	77	4
